danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.428,0.943,0,-4.129,1,0.0798,0.00162,0.0,0.814,0.605,152.041,audio_features,2U64TRs9DKbGzs2fPxSGdx,spotify:track:2U64TRs9DKbGzs2fPxSGdx,https://api.spotify.com/v1/tracks/2U64TRs9DKbGzs2fPxSGdx,https://api.spotify.com/v1/audio-analysis/2U64TRs9DKbGzs2fPxSGdx,199737,4
0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,audio_features,31AOj9sFz2gM0O3hMARRBx,spotify:track:31AOj9sFz2gM0O3hMARRBx,https://api.spotify.com/v1/tracks/31AOj9sFz2gM0O3hMARRBx,https://api.spotify.com/v1/audio-analysis/31AOj9sFz2gM0O3hMARRBx,268427,4
0.614,0.568,7,-5.477,0,0.0276,0.00797,0.0,0.0997,0.516,107.849,audio_features,3YuaBvuZqcwN3CEAyyoaei,spotify:track:3YuaBvuZqcwN3CEAyyoaei,https://api.spotify.com/v1/tracks/3YuaBvuZqcwN3CEAyyoaei,https://api.spotify.com/v1/audio-analysis/3YuaBvuZqcwN3CEAyyoaei,293960,4
0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,audio_features,3MrRksHupTVEQ7YbA0FsZK,spotify:track:3MrRksHupTVEQ7YbA0FsZK,https://api.spotify.com/v1/tracks/3MrRksHupTVEQ7YbA0FsZK,https://api.spotify.com/v1/audio-analysis/3MrRksHupTVEQ7YbA0FsZK,310333,4
0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000206,0.294,0.794,122.509,audio_features,37ZJ0p5Jm13JPevGcx4SkF,spotify:track:37ZJ0p5Jm13JPevGcx4SkF,https://api.spotify.com/v1/tracks/37ZJ0p5Jm13JPevGcx4SkF,https://api.spotify.com/v1/audio-analysis/37ZJ0p5Jm13JPevGcx4SkF,249293,4
0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,audio_features,48UPSzbZjgc449aqz8bxox,spotify:track:48UPSzbZjgc449aqz8bxox,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,https://api.spotify.com/v1/audio-analysis/48UPSzbZjgc449aqz8bxox,329733,4
0.56,0.846,3,-5.956,0,0.0464,0.000803,0.000154,0.197,0.256,110.01,audio_features,6IadkySzhPNWU0ZrXhVimN,spotify:track:6IadkySzhPNWU0ZrXhVimN,https://api.spotify.com/v1/tracks/6IadkySzhPNWU0ZrXhVimN,https://api.spotify.com/v1/audio-analysis/6IadkySzhPNWU0ZrXhVimN,256319,4
0.5,0.71,3,-3.015,1,0.0339,0.19,0.00025,0.269,0.419,89.929,audio_features,5qaEfEh1AtSdrdrByCP7qR,spotify:track:5qaEfEh1AtSdrdrByCP7qR,https://api.spotify.com/v1/tracks/5qaEfEh1AtSdrdrByCP7qR,https://api.spotify.com/v1/audio-analysis/5qaEfEh1AtSdrdrByCP7qR,177507,4
0.52,0.709,5,-7.125,0,0.0352,0.247,1.78e-05,0.18,0.536,76.039,audio_features,6urCAbunOQI4bLhmGpX7iS,spotify:track:6urCAbunOQI4bLhmGpX7iS,https://api.spotify.com/v1/tracks/6urCAbunOQI4bLhmGpX7iS,https://api.spotify.com/v1/audio-analysis/6urCAbunOQI4bLhmGpX7iS,263560,4
0.452,0.524,0,-10.108,1,0.0351,0.315,0.0,0.103,0.246,151.505,audio_features,3ovjw5HZZv43SxTwApooCM,spotify:track:3ovjw5HZZv43SxTwApooCM,https://api.spotify.com/v1/tracks/3ovjw5HZZv43SxTwApooCM,https://api.spotify.com/v1/audio-analysis/3ovjw5HZZv43SxTwApooCM,312360,4
0.474,0.671,4,-4.649,1,0.0289,0.0129,0.0,0.159,0.0682,82.94,audio_features,5B5eTk7DF8KVp1zpQoY1XY,spotify:track:5B5eTk7DF8KVp1zpQoY1XY,https://api.spotify.com/v1/tracks/5B5eTk7DF8KVp1zpQoY1XY,https://api.spotify.com/v1/audio-analysis/5B5eTk7DF8KVp1zpQoY1XY,232800,4
0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,audio_features,57iDDD9N9tTWe75x6qhStw,spotify:track:57iDDD9N9tTWe75x6qhStw,https://api.spotify.com/v1/tracks/57iDDD9N9tTWe75x6qhStw,https://api.spotify.com/v1/audio-analysis/57iDDD9N9tTWe75x6qhStw,357267,4
0.556,0.83,8,-8.092,1,0.0302,0.000549,0.000864,0.16,0.566,141.999,audio_features,5SF8VwHivz8d9icEhGI3kY,spotify:track:5SF8VwHivz8d9icEhGI3kY,https://api.spotify.com/v1/tracks/5SF8VwHivz8d9icEhGI3kY,https://api.spotify.com/v1/audio-analysis/5SF8VwHivz8d9icEhGI3kY,226347,4
0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,audio_features,70LcF31zb1H0PyJoS1Sx1r,spotify:track:70LcF31zb1H0PyJoS1Sx1r,https://api.spotify.com/v1/tracks/70LcF31zb1H0PyJoS1Sx1r,https://api.spotify.com/v1/audio-analysis/70LcF31zb1H0PyJoS1Sx1r,238640,4
0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,audio_features,08mG3Y1vljYA6bvDt4Wqkj,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/tracks/08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/audio-analysis/08mG3Y1vljYA6bvDt4Wqkj,255493,4
0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,audio_features,2374M0fQpWi3dLnB54qaLX,spotify:track:2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,295893,4
