song,artist,id
Nights Like This,The Kid LAROI,1XBYiRV30ykHw5f4wm6qEn
Mamushi,Megan Thee Stallion Featuring Yuki Chiba,5QgF5mYqbdF4R7veZjLQVl
South Of France,Future,2C11qhXSCvVzGogwOTP6aZ
Guy For That,Post Malone Featuring Luke Combs,6StwwqB84sJeLr7tZDTxEX
We Good,Lil Uzi Vert,0F60WLPs6Oz2slHomvLt9U
Think I'm In Love With You,Chris Stapleton,65M92JpTbAdHmTQm4jGaDa
No One Noticed,The Marias,3siwsiaEoU4Kuuc9WKMUy5
Good Graces,Sabrina Carpenter,102YUQbYmwdBXS7jwamI90
Or What?,NLE Choppa & 41,3lUYO6zvXI88sNDpyKvIJ2
Apple,Charli xcx,19RybK6XDbAVpcdxSbZL1o
Am I Okay?,Megan Moroney,36wAwEkSDpNQ4oQeRLYC3L
Liar,Jelly Roll,0llPOBVoJYDAtdmVlNE41A
New Drop,Don Toliver,2c7z5oRcPBbqRaBY2mLWcf
I Luv Her,GloRilla & T-Pain,6jQeSeqn9AdsCe0NMrylxH
Prove It,21 Savage & Summer Walker,5wttBUDyaHAR5q9fYnN3YF
I Hope You Find Your Way Home,"Tyler, The Creator",0pvZCv4JOS5WBu7JITYef6
No Pole,Don Toliver,0eaVIYo2zeOaGJeqZ5TwYz
2AM,BigXthaPlug,26TX1oZbaDeKxfTYDclSAo
Hollon,GloRilla,6XVkJ1fM7NkjODPYI7QbAM
Lonely Road,mgk & Jelly Roll,3Rfre3qkrhwdZZ7dyznwbN
Change Me,BigXthaPlug,4BjEz7HIK0Ja4tsyNj65HV
Him All Along,Gunna,2EKL77lwxvo615Ga7VjEUl
Brokey,Latto,1JF8LkQWZ8grXb2emqrNKn
